lead_actor,prior_n_films,has_history,prior_mean,prior_adj_mean,prior_std,prior_positive_rate,prior_last3_mean,prior_last5_mean,prior_momentum,prior_mean_vs_era,prior_tier,prior_career_years,days_since_prev_film,era_prior_mean,era_prior_n,tier_unproven,tier_promising,tier_proven_weak,tier_proven_positive,films_to_date,career_mean,as_of_date
Aamir Khan,5,1,3.4,2.843999728284459,1.2942179105544784,0.6,3.6666666666666665,3.4,0.2666666666666666,3.7193288252968637,promising,25.059548254620122,1478.0,2.720138888888889,700,0,1,0,0,5.0,3.4,2026-08-28
Abhishek Bachchan,34,1,2.25,2.3751019299120237,0.9149432835543481,0.14705882352941177,2.6666666666666665,2.6,0.4166666666666665,2.592475534055221,proven_weak,25.700205338809035,420.0,2.720138888888889,700,0,0,1,0,34.0,2.25,2026-08-28
Aftab Shivdasani,9,1,1.7777777777777777,2.328333106903716,0.7120003121097942,0.0,1.5,1.9,-0.2777777777777777,2.2158954467569463,unproven,25.57700205338809,3697.0,2.720138888888889,700,1,0,0,0,9.0,1.7777777777777777,2026-08-28
Ajay Devgn,53,1,3.0943396226415096,2.9982352142013116,0.9610521266459089,0.5660377358490566,3.1666666666666665,3.2,0.07232704402515688,3.3760683424680957,proven_positive,25.700205338809035,287.0,2.720138888888889,700,0,0,0,1,53.0,3.0943396226415096,2026-08-28
Akshay Kumar,27,1,3.314814814814815,3.0804760610878374,0.6814598039411162,0.5925925925925926,3.5,3.6,0.18518518518518512,3.3594209678093745,proven_positive,10.234086242299794,64.0,2.720138888888889,700,0,0,0,1,27.0,3.314814814814815,2026-08-28
Akshaye Khanna,4,1,2.5,2.625262871878378,0.5773502691896257,0.0,2.6666666666666665,2.5,0.16666666666666652,3.0797990374328243,unproven,23.077344284736483,6986.0,2.720138888888889,700,1,0,0,0,4.0,2.5,2026-08-28
Amitabh Bachchan,36,1,2.9027777777777777,2.8309802856017483,0.9770176518689373,0.4166666666666667,3.3333333333333335,3.2,0.4305555555555558,3.2363247431750573,proven_weak,23.28268309377139,1386.0,2.720138888888889,700,0,0,1,0,36.0,2.9027777777777777,2026-08-28
Anil Kapoor,15,1,2.3333333333333335,2.4959998188563057,1.0801234497346435,0.26666666666666666,2.8333333333333335,2.7,0.5,2.629150420277655,proven_weak,25.700205338809035,176.0,2.720138888888889,700,0,0,1,0,15.0,2.3333333333333335,2026-08-28
Anupam Kher,3,1,1.6666666666666667,2.4933330314271767,0.5773502691896257,0.0,1.6666666666666667,1.6666666666666667,0.0,2.0072063917517298,unproven,19.9315537303217,2786.0,2.720138888888889,700,1,0,0,0,3.0,1.6666666666666667,2026-08-28
Arjun Kapoor,4,1,3.0,2.730526029773115,0.0,0.0,3.0,3.0,0.0,3.080979359889609,unproven,11.964407939767282,1323.0,2.720138888888889,700,1,0,0,0,4.0,3.0,2026-08-28
