movie_title,lead_actor,sentiment,rating,year,release_date,language,genre,director,actor_2,actor_3,music_director,critic,review_url
Housefull 3,Akshay Kumar,negative,3.0,2016,"June 3, 2016",Hindi,Comedy,"Sajid Samji, Farhad Samji",Riteish Deshmukh,Abhishek Bachchan,"Toshi Sabri, Sharib Sabri, Mika Singh, Sohail Sen, Millind Gaba, Tanishk Bagchi",Bollywood Hungama News Network,https://www.bollywoodhungama.com/movie/housefull-3/critic-review/
Rustom,Akshay Kumar,negative,3.0,2016,"August 11, 2016",Hindi,"Romance, Thriller",Tinu Suresh Desai,Ileana D'Cruz,Esha Gupta,"Ankit Tiwari, Raghav Sachar, Jeet Ganguly, Arko Pravo Mukherjee",Bollywood Hungama News Network,https://www.bollywoodhungama.com/movie/rustom-2/critic-review/
Jolly LLB 2,Akshay Kumar,positive,3.5,2017,"February 10, 2017",Hindi,"Comedy, Drama",Subhash Kapoor,Huma Qureshi,Saurabh Shukla,"Chirantan Bhatt, Manj Musik, Vishal Khurana, Meet Bros",Bollywood Hungama News Network,https://www.bollywoodhungama.com/movie/jolly-llb-2/critic-review/
Toilet - Ek Prem Katha,Akshay Kumar,negative,3.0,2017,"August 11, 2017",Hindi,"Comedy, Drama",Shree Narayan Singh,Bhumi Pednekar,Divyenndu,"Parampara Band, Vickey Prasad, Manas, Shikhar, Sachet Tandon",Bollywood Hungama News Network,https://www.bollywoodhungama.com/movie/toilet-ek-prem-katha/critic-review/
Gold,Akshay Kumar,positive,4.0,2018,"August 14, 2018",Hindi,"Biographical, Sports",Reema Kagti,Mouni Roy,Kunal Kapoor,"Sachin Sanghvi, Jigar Saraiya, Tanishk Bagchi, Arko Pravo Mukherjee",Bollywood Hungama News Network,https://www.bollywoodhungama.com/movie/gold/critic-review/
Pad Man,Akshay Kumar,positive,4.0,2018,"February 8, 2018",Hindi,"Social, Drama",R. Balki,Sonam Kapoor Ahuja,Radhika Apte,Amit Trivedi,Bollywood Hungama News Network,https://www.bollywoodhungama.com/movie/pad-man/critic-review/
Good Newwz,Akshay Kumar,positive,4.0,2019,"December 26, 2019",Hindi,"Comedy, Drama",Raj Mehta,Kareena Kapoor Khan,Diljit Dosanjh,"Manj Musik, Sukhbir, DJ Chetas, Rochak Kohli, Badshah, Tanishk Bagchi, Lijo George, Lauv, Herbie Sahara, Kshmr",Taran Adarsh,https://www.bollywoodhungama.com/movie/good-newwz/critic-review/
Housefull 4,Akshay Kumar,negative,2.0,2019,"October 25, 2019",Hindi,"Comedy, Drama",Farhad Samji,Riteish Deshmukh,Bobby Deol,"Sohail Sen, Farhad Samji, Sandeep Shirodkar, Devi Sri Prasad",Bollywood Hungama News Network,https://www.bollywoodhungama.com/movie/housefull-4/critic-review/
Mission Mangal,Akshay Kumar,positive,4.5,2019,"August 14, 2019",Hindi,"Patriotic, Drama",Jagan Shakti,Vidya Balan,Taapsee Pannu,Amit Trivedi,Bollywood Hungama News Network,https://www.bollywoodhungama.com/movie/mission-mangal/critic-review/
Laxmii,Akshay Kumar,negative,2.0,2020,"November 9, 2020",Hindi,"Horror, Comedy",Raghava Lawrence,Kiara Advani,Sharad Kelkar,"Tanishk Bagchi, Shashi - Khushi, Ullumanati",Taran Adarsh,https://www.bollywoodhungama.com/movie/laxmii/critic-review/
Atrangi Re,Akshay Kumar,negative,3.0,2021,"December 24, 2021",Hindi,"Romance, Comedy",Aanand. L. Rai,Sara Ali Khan,Dhanush,A. R. Rahman,Bollywood Hungama News Network,https://www.bollywoodhungama.com/movie/atrangi-re/critic-review/
Bellbottom,Akshay Kumar,positive,4.0,2021,"August 18, 2021",Hindi,"Action, Thriller",Ranjit M Tewari,Vaani Kapoor,Huma Qureshi,"Amaal Mallik, Tanishk Bagchi, Gurnazar, Shantanu Dutta, Kulwant Singh Bhamra, Maninder Buttar, Kartik Dev, Gaurav Dev",Taran Adarsh,https://www.bollywoodhungama.com/movie/bell-bottom/critic-review/
Sooryavanshi,Akshay Kumar,positive,4.5,2021,"November 5, 2021",Hindi,"Action, Thriller",Rohit Shetty,Katrina Kaif,Ranveer Singh,"Pritam Chakraborty, Viju Shah, DJ Chetas, Tanishk Bagchi, Jam8, Lijo George, Kaushik, Guddu, Akash, Pav Dharia",Taran Adarsh,https://www.bollywoodhungama.com/movie/sooryavanshi/critic-review/
Bachchhan Paandey,Akshay Kumar,positive,3.5,2022,"March 18, 2022",Hindi,"Action, Comedy",Farhad Samji,Kriti Sanon,Jacqueline Fernandez,"Amaal Mallik, Jaani, Vikram Montrose, B Praak",Bollywood Hungama News Network,https://www.bollywoodhungama.com/movie/bachchhan-paandey/critic-review/
Cuttputlli,Akshay Kumar,negative,2.5,2022,"September 2, 2022",Hindi,"Crime, Thriller",Ranjit M Tewari,Rakul Preet Singh,Chandrachur Singh,"Dr Zeus, Aditya Dev, Tanishk Bagchi",Bollywood Hungama News Network,https://www.bollywoodhungama.com/movie/cuttputlli/critic-review/
