movie_id,movie_title,lead_actor,release_date,critic,director,prior_tier,split,is_positive,prior_n_films,has_history,prior_mean,prior_adj_mean,prior_std,prior_positive_rate,prior_last3_mean,prior_last5_mean,prior_momentum,prior_mean_vs_era,days_since_prev_film,era_prior_mean,tier_unproven,tier_promising,tier_proven_weak,tier_proven_positive,release_month,n_genres,genre_action,genre_adult,genre_biographical,genre_comedy,genre_crime,genre_drama,genre_family,genre_horror,genre_musical,genre_patriotic,genre_romance,genre_social,genre_sports,genre_suspense,genre_thriller,genre_other
0,Aaghaaz,Suniel Shetty,2000-12-15,Taran Adarsh,Yogesh Ishwar,unproven,train,0,0,0,3.0,3.0,0.9,0.0,3.0,3.0,0.0,3.0,365.0,3.0,1,0,0,0,12,4,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1,Beti No 1,Govinda,2000-12-15,Taran Adarsh,Tatineni Rama Rao,unproven,train,0,0,0,3.0,3.0,0.9,0.0,3.0,3.0,0.0,3.0,365.0,3.0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Bichhoo,Bobby Deol,2000-12-15,Taran Adarsh,Guddu Dhanoa,unproven,train,0,0,0,3.0,3.0,0.9,0.0,3.0,3.0,0.0,3.0,365.0,3.0,1,0,0,0,12,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3,Chal Mere Bhai,Sanjay Dutt,2000-12-15,Taran Adarsh,David Dhawan,unproven,train,0,0,0,3.0,3.0,0.9,0.0,3.0,3.0,0.0,3.0,365.0,3.0,1,0,0,0,12,4,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
4,Deewane,Ajay Devgn,2000-12-15,Taran Adarsh,Harry Baweja,unproven,train,0,0,0,3.0,3.0,0.9,0.0,3.0,3.0,0.0,3.0,365.0,3.0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,Dhaai Akshar Prem Ke,Abhishek Bachchan,2000-12-15,Taran Adarsh,Raj Kanwar,unproven,train,0,0,0,3.0,3.0,0.9,0.0,3.0,3.0,0.0,3.0,365.0,3.0,1,0,0,0,12,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6,Dil Pe Mat Le Yaar,Manoj Bajpayee,2000-12-15,Taran Adarsh,Hansal Mehta,unproven,train,0,0,0,3.0,3.0,0.9,0.0,3.0,3.0,0.0,3.0,365.0,3.0,1,0,0,0,12,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7,Fiza,Hrithik Roshan,2000-12-15,Taran Adarsh,Khalid Mohamed,unproven,train,0,0,0,3.0,3.0,0.9,0.0,3.0,3.0,0.0,3.0,365.0,3.0,1,0,0,0,12,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8,Hamara Dil Aapke Paas Hai,Anil Kapoor,2000-12-15,Taran Adarsh,Satish Kaushik,unproven,train,1,0,0,3.0,3.0,0.9,0.0,3.0,3.0,0.0,3.0,365.0,3.0,1,0,0,0,12,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9,Har Dil Jo Pyaar Karega,Salman Khan,2000-12-15,Taran Adarsh,Raj Kanwar,unproven,train,1,0,0,3.0,3.0,0.9,0.0,3.0,3.0,0.0,3.0,365.0,3.0,1,0,0,0,12,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
